neighborhood,address,room_num,floor,area,num_of_payments,monthly_arnona,url,building_tax,garden_area
לב תל אביב החלק הצפוני,טשרניחובסקי 3,3.0,,70.0,12.0,500.0,https://www.ad.co.il/ad/16069681,150.0,
הצפון הישן החלק המרכזי,סוקולוב 3,3.0,,85.0,12.0,750.0,https://www.ad.co.il/ad/16069609,360.0,
לב תל אביב החלק הצפוני,פינסקר 5,3.0,,75.0,12.0,650.0,https://www.ad.co.il/ad/16068607,200.0,
הצפון הישן החלק המרכזי,דיזנגוף 168,3.0,,70.0,12.0,,https://www.ad.co.il/ad/16067980,195.0,
הצפון הישן החלק המרכזי,ארלוזורוב 33,2.0,,52.0,12.0,450.0,https://www.ad.co.il/ad/16060355,250.0,
הצפון הישן החלק המרכזי,שדרות בן גוריון 3,2.0,,70.0,12.0,500.0,https://www.ad.co.il/ad/16060191,250.0,
לב תל אביב החלק הצפוני,החשמונאים 55,3.0,,60.0,12.0,430.0,https://www.ad.co.il/ad/16057351,,
הצפון הישן החלק המרכזי,לסל 7,3.0,,70.0,12.0,500.0,https://www.ad.co.il/ad/16046915,250.0,
הצפון הישן החלק המרכזי,אהרון דוד גורדון 5,2.0,,60.0,12.0,500.0,https://www.ad.co.il/ad/16028668,250.0,
הצפון הישן החלק המרכזי,ז'בוטינסקי 6,3.0,,70.0,12.0,900.0,https://www.ad.co.il/ad/16023116,250.0,
לב תל אביב החלק הצפוני,פינסקר 3,1.5,,36.0,12.0,240.0,https://www.ad.co.il/ad/15971986,120.0,
לב תל אביב החלק הצפוני,המלך ג'ורג' 4,2.0,,60.0,12.0,500.0,https://www.ad.co.il/ad/15862039,300.0,
לב תל אביב החלק הצפוני,פינסקר 17,2.0,,55.0,12.0,150.0,https://www.ad.co.il/ad/16043237,170.0,
לב תל אביב החלק הצפוני,בוקי בן יגלי 4,2.5,,600.0,12.0,500.0,https://www.ad.co.il/ad/15794405,500.0,
לב תל אביב החלק הצפוני,טשרניחובסקי 3,2.0,,40.0,12.0,400.0,https://www.ad.co.il/ad/15750358,100.0,
לב תל אביב החלק הצפוני,רבנו תם 9,3.0,,85.0,12.0,500.0,https://www.ad.co.il/ad/15745162,200.0,
הצפון הישן החלק המרכזי,רחל 8,3.0,,87.0,12.0,1000.0,https://www.ad.co.il/ad/15695084,260.0,
הצפון הישן החלק המרכזי,רחל 4,3.0,,89.0,12.0,700.0,https://www.ad.co.il/ad/15599541,300.0,
הצפון הישן החלק המרכזי,אלחריזי 3,3.0,,70.0,12.0,300.0,https://www.ad.co.il/ad/15954517,200.0,
לב תל אביב החלק הצפוני,בר כוכבא 8,2.0,,60.0,12.0,500.0,https://www.ad.co.il/ad/15589249,200.0,
לב תל אביב החלק הצפוני,המלך ג'ורג' 22,3.5,,100.0,12.0,500.0,https://www.ad.co.il/ad/15576519,200.0,
לב תל אביב החלק הצפוני,פינסקר 3,2.0,,50.0,12.0,400.0,https://www.ad.co.il/ad/15554333,200.0,30.0
לב תל אביב החלק הצפוני,חיות פרץ 4,4.0,,100.0,12.0,650.0,https://www.ad.co.il/ad/15511991,320.0,
הצפון הישן החלק המרכזי,אמסטרדם 13,3.5,,90.0,1.0,754.0,https://www.ad.co.il/ad/15924513,200.0,
לב תל אביב החלק הצפוני,בוקי בן יגלי 4,1.0,,25.0,12.0,100.0,https://www.ad.co.il/ad/15352561,120.0,
לב תל אביב החלק הצפוני,בוקי בן יגלי 9,1.0,,22.0,12.0,150.0,https://www.ad.co.il/ad/15347101,40.0,
לב תל אביב החלק הצפוני,פינסקר 3,4.0,,100.0,12.0,500.0,https://www.ad.co.il/ad/15223381,250.0,
,,,,,,,https://www.ad.co.il/ad/16217537,,
,,,,,,,https://www.ad.co.il/ad/16217614,,
,,,,,,,https://www.ad.co.il/ad/16217062,,
