neighborhood,address,room_num,floor,area,num_of_payments,url,monthly_arnona,building_tax,garden_area,distance_from_dizengoff
הצפון הישן החלק המרכזי,אלחריזי 3,3.0,,70.0,12.0,https://www.ad.co.il/ad/15954517,300.0,200.0,,1152.0
לב תל אביב החלק הצפוני,בר כוכבא 8,2.0,,60.0,12.0,https://www.ad.co.il/ad/15589249,500.0,200.0,,548.0
לב תל אביב החלק הצפוני,המלך ג'ורג' 22,3.5,,100.0,12.0,https://www.ad.co.il/ad/15576519,500.0,200.0,,882.0
לב תל אביב החלק הצפוני,פינסקר 3,2.0,,50.0,12.0,https://www.ad.co.il/ad/15554333,400.0,200.0,30.0,769.0
לב תל אביב החלק הצפוני,חיות פרץ 4,4.0,,100.0,12.0,https://www.ad.co.il/ad/15511991,650.0,320.0,,4930.0
הצפון הישן החלק המרכזי,אמסטרדם 13,3.5,,90.0,1.0,https://www.ad.co.il/ad/15924513,754.0,200.0,,1329.0
לב תל אביב החלק הצפוני,בוקי בן יגלי 4,1.0,,25.0,12.0,https://www.ad.co.il/ad/15352561,100.0,120.0,,700.0
לב תל אביב החלק הצפוני,בוקי בן יגלי 9,1.0,,22.0,12.0,https://www.ad.co.il/ad/15347101,150.0,40.0,,663.0
מרכז העיר ב',הרצל 23,6.0,,147.0,12.0,https://www.ad.co.il/ad/16218614,2100.0,450.0,67.0,2291.0
,,,,,,https://www.ad.co.il/ad/16218324,,,,
מרכז העיר צפון,שטמפפר יהושע 56,2.5,,56.0,,https://www.ad.co.il/ad/16218716,,,,11825.0
לב תל אביב החלק הצפוני,פינסקר 3,4.0,,100.0,12.0,https://www.ad.co.il/ad/15223381,500.0,250.0,,769.0
לב תל אביב החלק הצפוני,"רש""י 9",3.0,,90.0,12.0,https://www.ad.co.il/ad/15317252,500.0,200.0,,904.0
לב תל אביב החלק הצפוני,מרמורק 4,3.0,,75.0,12.0,https://www.ad.co.il/ad/15288263,500.0,200.0,,1034.0
לב תל אביב החלק הצפוני,החשמונאים 4,5.0,,100.0,12.0,https://www.ad.co.il/ad/15223377,1000.0,250.0,,847.0
הצפון הישן החלק המרכזי,ארלוזורוב 4,4.0,,90.0,12.0,https://www.ad.co.il/ad/15223380,500.0,250.0,,1291.0
הצפון הישן החלק המרכזי,בן יהודה 111,2.0,,60.0,12.0,https://www.ad.co.il/ad/15220320,300.0,200.0,,903.0
הצפון הישן החלק המרכזי,קלונימוס 4,3.0,,80.0,12.0,https://www.ad.co.il/ad/15139084,800.0,200.0,,1382.0
הצפון הישן החלק המרכזי,קלונימוס 7,3.0,,80.0,12.0,https://www.ad.co.il/ad/15121880,850.0,150.0,,1424.0
הצפון הישן החלק המרכזי,קלונימוס 3,3.0,,80.0,12.0,https://www.ad.co.il/ad/15121925,500.0,150.0,,1384.0
הצפון הישן החלק המרכזי,גרץ 6,3.0,,78.0,12.0,https://www.ad.co.il/ad/15115728,750.0,200.0,,831.0
לב תל אביב החלק הצפוני,בר אילן 4,2.0,,57.0,12.0,https://www.ad.co.il/ad/15105882,400.0,200.0,,1111.0
לב תל אביב החלק הצפוני,מרכז בעלי מלאכה 3,1.5,,26.0,12.0,https://www.ad.co.il/ad/15082918,230.0,100.0,,1162.0
לב תל אביב החלק הצפוני,בן יהודה 33,3.0,,70.0,12.0,https://www.ad.co.il/ad/14999999,400.0,100.0,,763.0
לב תל אביב החלק הצפוני,בן יהודה 33,2.5,,70.0,12.0,https://www.ad.co.il/ad/14990953,450.0,150.0,,763.0
הצפון הישן החלק המרכזי,יהושע בן נון 3,2.0,,70.0,12.0,https://www.ad.co.il/ad/14936165,300.0,200.0,,1253.0
לב תל אביב החלק הצפוני,כרמיה 4,2.0,,45.0,12.0,https://www.ad.co.il/ad/14909200,500.0,200.0,,1156.0
הצפון הישן החלק המרכזי,זלטופולסקי  7,3.0,,70.0,12.0,https://www.ad.co.il/ad/14933634,500.0,100.0,,1354.0
לב תל אביב החלק הצפוני,כרמיה 4,2.0,,45.0,12.0,https://www.ad.co.il/ad/14909194,500.0,200.0,,1156.0
לב תל אביב החלק הצפוני,הס משה 4,4.0,,90.0,12.0,https://www.ad.co.il/ad/14878407,1000.0,300.0,,8735.0
הצפון הישן החלק המרכזי,ארלוזורוב 55,2.0,,52.0,12.0,https://www.ad.co.il/ad/14848374,250.0,200.0,,1166.0
לב תל אביב החלק הצפוני,"מלצ""ט  77",4.0,,85.0,12.0,https://www.ad.co.il/ad/14814161,1000.0,250.0,50.0,758.0
הצפון הישן החלק המרכזי,אבן גבירול 111,3.0,,78.0,12.0,https://www.ad.co.il/ad/14814746,500.0,200.0,,1563.0
הצפון הישן החלק המרכזי,בן גוריון  9,2.0,,58.0,12.0,https://www.ad.co.il/ad/14783047,500.0,200.0,,5491.0
לב תל אביב החלק הצפוני,סמטת גן מאיר 6,4.0,,100.0,12.0,https://www.ad.co.il/ad/14714814,1000.0,450.0,,834.0
הצפון הישן החלק המרכזי,לסל 9,2.0,,50.0,12.0,https://www.ad.co.il/ad/14687471,400.0,100.0,,976.0
הצפון הישן החלק המרכזי,בן גוריון  77,3.0,,80.0,12.0,https://www.ad.co.il/ad/14671216,500.0,250.0,,5228.0
הצפון הישן החלק המרכזי,ויזל 6,3.0,,80.0,12.0,https://www.ad.co.il/ad/14668437,600.0,200.0,,884.0
הצפון הישן החלק המרכזי,סוקולוב 9,3.0,,90.0,12.0,https://www.ad.co.il/ad/14511256,1200.0,250.0,,10188.0
הצפון הישן החלק המרכזי,עמנואל הרומי 7,3.0,,68.0,12.0,https://www.ad.co.il/ad/14363894,500.0,250.0,,1447.0
הצפון הישן החלק המרכזי,רחל 4,3.5,,90.0,12.0,https://www.ad.co.il/ad/14269324,900.0,500.0,,1007.0
הצפון הישן החלק המרכזי,רחל 8,3.5,,87.0,12.0,https://www.ad.co.il/ad/14247450,500.0,300.0,,967.0
הצפון הישן החלק המרכזי,ארלוזורוב 66,3.5,,90.0,12.0,https://www.ad.co.il/ad/14228829,700.0,200.0,,1056.0
הצפון הישן החלק המרכזי,ויזל 9,3.0,,78.0,12.0,https://www.ad.co.il/ad/14182717,500.0,200.0,,933.0
לב תל אביב החלק הצפוני,הירקון 55,4.0,,200.0,12.0,https://www.ad.co.il/ad/13957263,100.0,100.0,,978.0
הצפון הישן החלק המרכזי,בן יהודה 166,4.0,,80.0,12.0,https://www.ad.co.il/ad/14114341,500.0,200.0,,1107.0
לב תל אביב החלק הצפוני,הירקון 66,2.5,,60.0,12.0,https://www.ad.co.il/ad/14093289,500.0,200.0,,943.0
הצפון הישן החלק המרכזי,הפרדס 3,2.0,,55.0,12.0,https://www.ad.co.il/ad/14081698,450.0,100.0,,1097.0
הצפון הישן החלק המרכזי,שמואל הנגיד 5,3.0,,85.0,12.0,https://www.ad.co.il/ad/14055582,500.0,200.0,,1084.0
לב תל אביב החלק הצפוני,בן יהודה 44,3.0,,75.0,12.0,https://www.ad.co.il/ad/13728924,500.0,150.0,,718.0
לב תל אביב החלק הצפוני,טשרניחובסקי  22,3.5,,100.0,12.0,https://www.ad.co.il/ad/13728935,500.0,250.0,,728.0
לב תל אביב החלק הצפוני,חיות פרץ 4,4.0,,90.0,12.0,https://www.ad.co.il/ad/13721825,900.0,250.0,,4930.0
הצפון הישן החלק המרכזי,לסל 6,3.0,,70.0,12.0,https://www.ad.co.il/ad/13707295,550.0,250.0,40.0,1133.0
הצפון הישן החלק המרכזי,חתם סופר  8,1.5,,40.0,12.0,https://www.ad.co.il/ad/13679337,350.0,150.0,,1284.0
לב תל אביב החלק הצפוני,אחדות העבודה  3,4.0,,180.0,12.0,https://www.ad.co.il/ad/13677789,1850.0,600.0,,3322.0
הצפון הישן החלק המרכזי,ארלוזורוב 65,2.5,,70.0,12.0,https://www.ad.co.il/ad/13637589,500.0,200.0,,1254.0
לב תל אביב החלק הצפוני,בר כוכבא 12,3.0,,70.0,12.0,https://www.ad.co.il/ad/13634549,500.0,200.0,,540.0
הצפון הישן החלק המרכזי,ארלוזורוב 66,2.5,,70.0,12.0,https://www.ad.co.il/ad/13624917,650.0,200.0,,1056.0
הצפון הישן החלק המרכזי,אליהו בחור 6,2.0,,42.0,12.0,https://www.ad.co.il/ad/13521394,450.0,250.0,,1547.0
מרכז העיר ב',הרצל 23,6.0,,147.0,12.0,https://www.ad.co.il/ad/16218614,2100.0,450.0,67.0,2291.0
,,,,,,https://www.ad.co.il/ad/16218324,,,,
,,,,,,https://www.ad.co.il/ad/16218093,,,,
הצפון הישן החלק המרכזי,פרנקפורט 9,4.0,,120.0,12.0,https://www.ad.co.il/ad/13373646,1000.0,250.0,,1241.0
הצפון הישן החלק המרכזי,ארלוזורוב 33,1.0,,27.0,12.0,https://www.ad.co.il/ad/13335903,250.0,50.0,,1104.0
הצפון הישן החלק המרכזי,ז'בוטינסקי 44,3.0,,100.0,12.0,https://www.ad.co.il/ad/13299972,900.0,350.0,,1430.0
לב תל אביב החלק הצפוני,פינסקר 20,4.0,,90.0,12.0,https://www.ad.co.il/ad/13271853,300.0,300.0,,573.0
הצפון הישן החלק המרכזי,אהרון דוד גורדון 33,3.0,,75.0,12.0,https://www.ad.co.il/ad/13090120,400.0,200.0,,1284.0
הצפון הישן החלק המרכזי,בן יהודה 188,1.0,,30.0,12.0,https://www.ad.co.il/ad/13055802,250.0,90.0,,1330.0
לב תל אביב החלק הצפוני,שינקין   77,3.0,,89.0,12.0,https://www.ad.co.il/ad/12545182,650.0,250.0,,1583.0
לב תל אביב החלק הצפוני,שיינקין 77,3.0,,89.0,12.0,https://www.ad.co.il/ad/12545226,650.0,250.0,,1583.0
הצפון הישן החלק המרכזי,הירקון 202,2.0,,60.0,12.0,https://www.ad.co.il/ad/12458307,399.0,60.0,,1472.0
לב תל אביב החלק הצפוני,בן יהודה 33,1.0,,25.0,12.0,https://www.ad.co.il/ad/12394268,100.0,100.0,,763.0
הצפון הישן החלק המרכזי,פרנקפורט  11,4.0,,104.0,12.0,https://www.ad.co.il/ad/12207609,1100.0,450.0,,1268.0
לב תל אביב החלק הצפוני,טשרניחובסקי,3.0,,90.0,,https://www.ad.co.il/ad/6638553,,,,657.0
לב תל אביב החלק הצפוני,ביל''ו,3.5,,95.0,12.0,https://www.ad.co.il/ad/6641113,,,,1237.0
,,,,,,https://www.ad.co.il/ad/16218446,,,,
,,,,,,https://www.ad.co.il/ad/16218324,,,,
,,,,,,https://www.ad.co.il/ad/16218602,,,,
